CA,51.27,-113.99
CA,51.27,-114
CA,51.29,-114.01
CA,51.3,-114.01
CA,51.3,-114.01
CA,51.27,-113.99
CA,51.18,-115.57
CA,51.18,-115.57
CA,51.15,-115.56
CA,53.36,-113.42
CA,50.57,-111.9
CA,51.05,-114.06
CA,51.04,-114.07
CA,51.05,-114.07
CA,51.05,-114.07
CA,51.05,-114.08
CA,51.04,-114.04
CA,51.09,-114.12
CA,51.13,-114.01
CA,50.97,-114.07
CA,51.12,-114.07
CA,51.1,-114.07
CA,50.95,-114
CA,51.09,-114.13
CA,51,-114.07
CA,51.12,-114.25
CA,50.91,-114.07
CA,51.05,-114.07
CA,51.16,-114.16
CA,51.07,-113.98
CA,50.93,-114.03
CA,51.13,-114.01
CA,50.93,-113.96
CA,51.04,-114.08
CA,51.05,-114.06
CA,51.05,-114.08
CA,51.05,-114.06
CA,50.88,-114.07
CA,51.06,-114.21
CA,51.05,-114.07
CA,51.12,-113.95
CA,50.88,-114.04
CA,51.04,-114.17
CA,51.12,-114.01
CA,51.13,-114.2
CA,51.05,-113.98
CA,50.96,-114.07
CA,51.05,-114.07
CA,51.01,-114.17
CA,51.06,-114.06
CA,51.16,-114.06
CA,51.01,-114.08
CA,50.97,-114.1
CA,51.07,-114.06
CA,51.05,-114.04
CA,51.06,-114.1
CA,51.13,-114.01
CA,51.1,-114.14
CA,51.05,-114.09
CA,50.93,-113.96
CA,50.95,-114.06
CA,51.05,-114.07
CA,50.98,-114.01
CA,51.03,-114.1
CA,51.04,-113.91
CA,50.91,-114.07
CA,51.03,-114.07
CA,51.13,-114.01
CA,51.13,-114.01
CA,50.9,-114.06
CA,50.97,-114.07
CA,51.01,-114.14
CA,50.99,-114.08
CA,51.08,-113.98
CA,51,-114.07
CA,50.95,-114.06
CA,50.98,-114.04
CA,51.02,-114.11
CA,51.05,-114.07
CA,51.13,-114.01
CA,50.91,-113.95
CA,51.02,-114.14
CA,51.11,-114.16
CA,51.04,-114.21
CA,50.91,-114.07
CA,51.07,-114.09
CA,50.97,-114.1
CA,50.93,-113.97
CA,51.02,-114.17
CA,50.96,-114.08
CA,51.08,-114.16
CA,51.01,-114.17
CA,51.04,-114.06
CA,51.13,-114.01
CA,51.04,-114.14
CA,51.08,-114.15
CA,51.16,-114.13
CA,51.05,-114.07
CA,51.05,-114.07
CA,51.05,-114.07
CA,51.15,-114.07
CA,51.13,-114.07
CA,51.04,-114.07
CA,51.1,-114.03
CA,51.15,-114.21
CA,50.94,-114.12
CA,51.14,-114.16
CA,51.09,-114.16
CA,51.08,-114.16
CA,51.13,-114.2
CA,50.96,-114.01
CA,51.04,-114.21
CA,51.04,-114.08
CA,51.07,-114.13
CA,51.13,-114.01
CA,51.07,-114.13
CA,51.06,-113.98
CA,51.05,-114.07
CA,51.05,-114.07
CA,51.06,-114.09
CA,50.91,-114.11
CA,50.88,-113.95
CA,51.05,-114.07
CA,51.02,-114.12
CA,51.05,-114.07
CA,51.05,-114.08
CA,51.07,-114.17
CA,51.04,-114.06
CA,51.05,-114.05
CA,51.07,-113.98
CA,51.07,-114.13
CA,51.1,-114.16
CA,51.08,-114.21
CA,51.04,-114.09
CA,51.08,-113.99
CA,51.05,-114.06
CA,51,-114.07
CA,51.15,-114.03
CA,51.04,-114.08
CA,51.04,-114.06
CA,51.13,-114.2
CA,53.02,-112.86
CA,53.02,-112.86
CA,51.09,-115.36
CA,51.09,-115.36
CA,51.05,-113.83
CA,51.05,-113.82
CA,51.19,-114.47
CA,51.19,-114.48
CA,53.42,-113.51
CA,53.53,-113.29
CA,53.52,-113.46
CA,53.49,-113.5
CA,53.57,-113.47
CA,53.55,-113.49
CA,53.54,-113.49
CA,53.54,-113.49
CA,53.54,-113.5
CA,53.52,-113.5
CA,53.53,-113.53
CA,53.6,-113.49
CA,53.54,-113.51
CA,53.54,-113.62
CA,53.52,-113.64
CA,53.6,-113.49
CA,53.54,-113.54
CA,53.55,-113.51
CA,53.62,-113.54
CA,53.5,-113.61
CA,53.57,-113.5
